station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2004-03-18,205.25641,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-19,147.45052,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-20,107.763885,275.3972473144531,turkana,0.0,0.0,1
G5171,2004-03-21,81.092445,205.25640869140625,turkana,0.0,0.0,1
G5171,2004-03-22,62.692867,147.4505157470703,turkana,0.0,0.0,1
G5171,2004-03-23,49.505005,107.76388549804688,turkana,0.0,0.0,1
G5171,2004-03-24,39.90901,81.09244537353516,turkana,0.0,0.0,1
G5171,2004-03-25,32.7771,62.692867279052734,turkana,0.0,0.0,1
G5171,2004-03-26,27.343246,49.5050048828125,turkana,0.0,0.0,1
G5171,2004-03-27,23.038815,39.90901184082031,turkana,0.0,0.0,1
G5171,2004-03-28,19.581594,32.777099609375,turkana,0.0,0.0,1
G5171,2004-03-29,16.93358,27.343246459960938,turkana,0.0,0.0,1
G5171,2004-03-30,14.822035,23.038814544677734,turkana,0.0,0.0,1
G5171,2004-03-31,13.111506,19.581594467163086,turkana,0.0,0.0,1
G5171,2004-04-01,12.186221,16.93358039855957,turkana,0.0,0.0,1
G5171,2004-04-02,11.724428,14.82203483581543,turkana,0.0,0.0,1
G5171,2004-04-03,10.494557,13.111506462097168,turkana,0.0,0.0,1
G5171,2004-04-04,9.823987,16.192089080810547,turkana,0.0,0.0,1
G5171,2004-04-05,10.385289,21.4056396484375,turkana,0.0,0.0,1
G5171,2004-04-06,12.686631,27.84593391418457,turkana,0.0,0.0,1
G5171,2004-04-07,16.19209,41.68211364746094,turkana,0.0,0.0,1
G5171,2004-04-08,21.40564,202.62657165527344,turkana,0.0,0.0,1
G5171,2004-04-09,27.845934,384.3670959472656,turkana,0.0,0.0,1
G5171,2004-04-10,41.682114,411.6711120605469,turkana,0.0,0.0,1
G5171,2004-04-11,202.62657,686.5765991210938,turkana,0.0,0.0,1
G5171,2004-04-12,384.3671,849.71875,turkana,0.0,0.0,1
G5171,2004-04-13,411.6711,849.71875,turkana,0.0,0.0,1
G5171,2004-04-14,686.5766,849.71875,turkana,0.0,0.0,1
G5171,2004-04-15,849.71875,849.71875,turkana,0.0,0.0,1
G5171,2004-04-16,635.8423,849.71875,turkana,0.0,0.0,1
G5171,2004-04-17,415.44623,849.71875,turkana,0.0,0.0,1
G5171,2004-04-18,276.70615,849.71875,turkana,0.0,0.0,1
G5171,2004-04-19,193.15688,635.84228515625,turkana,0.0,0.0,1
G5171,2004-04-20,141.4178,415.44622802734375,turkana,0.0,0.0,1
G5171,2004-04-21,107.20561,276.7061462402344,turkana,0.0,0.0,1
G5171,2004-04-22,84.228386,193.15687561035156,turkana,0.0,0.0,1
G5171,2004-04-23,68.21713,141.4178009033203,turkana,0.0,0.0,1
G5171,2004-04-24,56.94614,107.20561218261719,turkana,0.0,0.0,1
G5171,2004-04-25,50.061832,84.22838592529297,turkana,0.0,0.0,1
G5171,2004-04-26,48.485554,68.21713256835938,turkana,0.0,0.0,1
G5171,2004-04-27,52.688,66.75809478759766,turkana,0.0,0.0,1
G5171,2004-04-28,58.41796,74.01292419433594,turkana,0.0,0.0,1
G5171,2004-04-29,62.10417,176.73500061035156,turkana,0.0,0.0,1
G5171,2004-04-30,66.758095,557.3284301757812,turkana,0.0,0.0,1
G5171,2004-05-01,74.012924,643.1239013671875,turkana,0.0,0.0,1
G5171,2004-05-02,176.735,689.0782470703125,turkana,0.0,0.0,1
G5171,2004-05-03,557.3284,689.0782470703125,turkana,0.0,0.0,1
